codigo_ocorrencia,ocorrencia_pais,ocorrencia_cidade,ocorrencia_uf,ocorrencia_classificacao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_tipo_categoria
87079,BRASIL,JACAREACANGA,PA,ACIDENTE,,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87078,BRASIL,PALMAS,TO,INCIDENTE,-48.35777778,-10.29000000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87077,BRASIL,FORTALEZA,CE,INCIDENTE,-38.53222222,-37.75833333,INDETERMINADO
87076,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.47305556,-23.43555556,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87075,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,,,COLISÃO COM AVE
87073,BRASIL,RIBEIRÃO PRETO,SP,INCIDENTE,-47.77666667,-21.13638889,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87072,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87071,BRASIL,CASIMIRO DE ABREU,RJ,INCIDENTE,-42.05111125,-22.51250000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87069,BRASIL,ARACAJU,SE,INCIDENTE,-37.07333333,-10.98527778,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87067,BRASIL,MANAUS,AM,INCIDENTE,-60.05055556,-30.41111111,COLISÃO COM AVE
87066,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.65638889,-23.62611111,COLISÃO COM AVE
87065,BRASIL,FORTALEZA,CE,INCIDENTE,-38.53222222,-37.75833333,TURBULÊNCIA
87064,BRASIL,PORTO MURTINHO,MS,INCIDENTE GRAVE,-57.97166667,-22.02138889,COLISÃO COM AVE
87063,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,COLISÃO COM AVE
87062,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.65638889,-23.62611111,OUTROS
87061,BRASIL,ORIXIMINÁ,PA,ACIDENTE,-57.37638889,,OUTROS
87060,BRASIL,GOIÂNIA,GO,INCIDENTE GRAVE,-49.34944444,-16.62555556,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87059,BRASIL,PORTO ALEGRE DO NORTE,MT,ACIDENTE,-51.98055556,-10.61555556,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87058,BRASIL,CHAPADÃO DO SUL,MS,ACIDENTE,-52.96555556,-19.05000000,EXCURSÃO DE PISTA
87057,BRASIL,SÃO JOSÉ DO RIO CLARO,MT,ACIDENTE,,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87056,BRASIL,TERRA ROXA,SP,ACIDENTE,-48.39583333,-20.78138889,COLISÃO COM FAUNA
87054,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,EXCURSÃO DE PISTA
87053,BRASIL,NOSSA SENHORA DO LIVRAMENTO,MT,INCIDENTE GRAVE,-56.59416667,-15.54555556,OPERAÇÃO A BAIXA ALTITUDE
87052,BRASIL,SALVADOR,BA,INCIDENTE,-38.32250000,-12.90861111,PERDA DE CONTROLE EM VOO
87051,BRASIL,PORTO VELHO,RO,INCIDENTE,-63.90277778,,COLISÃO NO SOLO
87050,BRASIL,JATAÍ,GO,ACIDENTE,-51.65583333,-17.72916667,COLISÃO COM AVE
87049,BRASIL,NÃO IDENTIFICADA,,ACIDENTE,,,EXCURSÃO DE PISTA
87048,BRASIL,SALVADOR,BA,INCIDENTE,-38.32250000,-12.90861111,COLISÃO COM AVE
87047,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.65638889,-23.62611111,COLISÃO COM AVE
87046,BRASIL,PORTO ALEGRE,RS,INCIDENTE,,,EXCURSÃO DE PISTA
87045,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87043,BRASIL,GUIA LOPES DA LAGUNA,MS,INCIDENTE,-55.91527778,-21.62972222,COLISÃO COM AVE
87042,BRASIL,PORTO NACIONAL,TO,INCIDENTE,-48.54527778,-10.18277778,COLISÃO COM AVE
87039,BRASIL,CANTÁ,RR,INCIDENTE,-60.59583333,,CORTANTE DE VENTO / TEMPESTADE
87038,BRASIL,ALTO ALEGRE,RR,INCIDENTE,-63.18222222,,COLISÃO COM AVE
87037,BRASIL,ARROIO GRANDE,RS,INCIDENTE GRAVE,-52.96222222,-32.21111111,EXCURSÃO DE PISTA
87036,BRASIL,CANTÁ,RR,INCIDENTE GRAVE,-60.59583333,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87035,BRASIL,CURITIBA,PR,INCIDENTE,-49.17611111,-25.53166667,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87034,BRASIL,RECIFE,PE,INCIDENTE,-34.92277778,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87033,BRASIL,GOIÂNIA,GO,INCIDENTE,-49.22111111,-16.63250000,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87032,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.37000000,-22.98750000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87031,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-43.25055556,-22.81000000,COLISÃO COM AVE
87030,BRASIL,CAMPINAS,SP,INCIDENTE,-51.42444444,-22.17500000,COLISÃO COM AVE
87029,BRASIL,BRASÍLIA,DF,INCIDENTE,,,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87027,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.65638889,-23.62611111,FALHA OU MAU FUNCIONAMENTO DO MOTOR
87026,BRASIL,BRASÍLIA,DF,INCIDENTE,-47.91861111,-15.87111111,COLISÃO COM AVE
87025,BRASIL,RECIFE,PE,INCIDENTE,-34.92277778,,COLISÃO COM AVE
87024,BRASIL,GUARULHOS,SP,INCIDENTE,-46.47305556,-23.43555556,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87023,BRASIL,CAMPINAS,SP,INCIDENTE,-47.13444444,-23.00694444,COLISÃO COM AVE
87022,BRASIL,IPORÁ,GO,ACIDENTE,-51.11361111,-16.51277778,COLISÃO COM FAUNA
87021,BRASIL,NOVO MUNDO,MT,ACIDENTE,-55.44666667,,COLISÃO COM AVE
87020,BRASIL,CAMPINAS,SP,INCIDENTE,-47.13444444,-23.00694444,COLISÃO COM AVE
87019,BRASIL,SÃO PAULO,SP,INCIDENTE,-46.65638889,-23.62611111,COLISÃO COM AVE
87018,BRASIL,RECIFE,PE,INCIDENTE,-34.92277778,,EXCURSÃO DE PISTA
87017,BRASIL,MANAUS,AM,INCIDENTE,-60.05055556,-30.41111111,PERDA DE CONTROLE NO SOLO
87016,BRASIL,MACEIÓ,AL,INCIDENTE,-35.79166667,,EXCURSÃO DE PISTA
87013,BRASIL,SANTANA DO PARAÍSO,MG,INCIDENTE,-42.48805556,-19.47055556,PERDA DE CONTROLE NO SOLO
87010,BRASIL,GOIÂNIA,GO,INCIDENTE GRAVE,-49.22111111,-16.63250000,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
87009,BRASIL,MARICÁ,RJ,INCIDENTE,-42.82888889,-22.91805556,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
