fk_Ocorrencia_codigo_ocorrencia/fk_Recomendacao_recomendacao_numero
87125/"A-092/CENIPA/2024 - 01"
87124/"A-014/CENIPA/2024 - 01"
87123/"A-014/CENIPA/2024 - 02"
87122/"A-146/CENIPA/2023 - 01"
87121/"A-146/CENIPA/2023 - 02"
87118/"A-121/CENIPA/2023 - 01"
87117/"A-106/CENIPA/2023 - 01"
87116/"A-099/CENIPA/2023 - 01"
87115/"A-097/CENIPA/2023 - 01"
87114/"A-088/CENIPA/2023 - 01"
87113/"A-041/CENIPA/2023 - 01"
87112/"A-037/CENIPA/2023 - 01"
87111/"A-037/CENIPA/2023 - 02"
87110/"A-027/CENIPA/2023 - 01"
87109/"A-028/CENIPA/2023 - 01"
87108/"A-030/CENIPA/2023 ? 01"
87107/"A-005/CENIPA/202 - 01"
87106/"A-006/CENIPA/2023 - 01"
87105/"IG-143/CENIPA/2022 - 01"
87104/"A-138/CENIPA/2022 - 01"
87103/"A-122/CENIPA/2022 - 01"
87102/"IG-105/CENIPA/2022 - 01"
87100/"IG-105/CENIPA/2022 - 02"
87099/"IG-105/CENIPA/2022 - 03"
87098/"IG-105/CENIPA/2022 - 04"
87097/"A-101/CENIPA/2022 - 01"
87096/"A-099/CENIPA/2022-01"
87095/"IG-109/CENIPA/2022 - 01"
87093/"IG-089/CENIPA/2020 - 01"
87092/"A-082/CENIPA/2022 - 01"
87091/"A-074/CENIPA/2022 - 01"
87090/"A-069/CENIPA/2022 - 01"
87089/"A-069/CENIPA/2022 - 02"
87088/"A-069/CENIPA/2022 - 03"
87087/"A-069/CENIPA/2022 - 04"
87086/"IG-055/CENIPA/2022 - 02"
87085/"IG-055/CENIPA/2022-01"
87084/"IG-051/CENIPA/2022 - 01"
87082/"A-049/CENIPA/2022 - 01"
87081/"A-049/CENIPA/2022 - 02"
87080/"A-039/CENIPA/2022 - 01"
87079/"A-037/CENIPA/2020 - 01"
87078/"A-035/CENIPA/2022 - 01"
87077/"A-033/CENIPA/2022 - 01"
87076/"A-033/CENIPA/2022 - 02"
87075/"A-033/CENIPA/2022 - 03"
87073/"A-033/CENIPA/2022 - 04"
87072/"A-028/CENIPA/2022 - 01"
87071/"A-028/CENIPA/2022 - 02"
87069/"A-024/CENIPA/2022 - 01"
87067/"A-021/CENIPA/2022 - 01"
87066/"A-021/CENIPA/2022 - 02"
87065/"A-037/CENIPA/2023 - 01"
87064/"A-037/CENIPA/2023 - 02"
87063/"IG-010/CENIPA/2022 - 01"
87062/"A-008/CENIPA/2022 - 01"
87061/"A-006/CENIPA/2022 - 01"
87060/"A-004/CENIPA/2022 - 01"
87059/"A-004/CENIPA/2022 - 02"
87058/"A-004/CENIPA/2022 - 03"
87057/"A-002/CENIPA/2022 - 01"
87056/"A-002/CENIPA/2022 - 02"
87054/"A-002/CENIPA/2022 - 03"
87053/"I-149/CENIPA/2021 - 02"
87052/"I-149/CENIPA/2021 - 03"
87051/"A-152/CENIPA/2021 - 01"
87050/"A-144/CENIPA/2021 - 01"
87049/"A-137/CENIPA/2021 - 01"
87048/"A-137/CENIPA/2021 - 02"
87047/"A-137/CENIPA/2021 - 03"
87046/"A-137/CENIPA/2021 - 04"
87045/"A-137/CENIPA/2021 - 05"
87043/"A-138/CENIPA/2021 - 01"
87042/"A-127/CENIPA/2021 - 03"
87039/"A-121/CENIPA/2021 - 03"
87038/"A-121/CENIPA/2021 - 04"
87037/"A-121/CENIPA/2021 - 05"
87036/"A-104/CENIPA/2021 - 01"
87035/"A-137/CENIPA/2019 - 01"
87034/"A-096/CENIPA/2021 - 01"
87033/"A-096/CENIPA/2021 - 02"
87032/"A-078/CENIPA/2021 - 01"
87031/"A-078/CENIPA/2021 - 02"
87030/"A-078/CENIPA/2021 - 03"
87029/"A-078/CENIPA/2021 - 04"
87027/"A-069/CENIPA/2021 ? 01"
87026/"A-065/CENIPA/2021 - 03"
87025/"A-063/CENIPA/2021 - 01"
87024/"A-063/CENIPA/2021 - 02"
87023/"A-036/CENIPA/2021 - 01"
87022/"A-011/CENIPA/2021 - 02"
87021/"IG-008/CENIPA/2021 - 01"
87020/"A-004/CENIPA/2021 - 01"
87019/"A-005/CENIPA/2021 - 01"
87018/"A-005/CENIPA/2021 - 02"
87017/"A-156/CENIPA/2020 - 01"
87016/"IG-144/CENIPA/2020 - 01"
87013/"IG-144/CENIPA/2020 - 02"
87010/"IG-144/CENIPA/2020 - 03"
