aeronave_matricula;aeronave_modelo;aeronave_voo_origem;aeronave_voo_destino;fk_Fabricante_Nome
PTNAB;EMB-710C;BRIGADEIRO ARARIPE MACEDO;BRIGADEIRO ARARIPE MACEDO;NEIVA
PRHPR;R44 II;FORA DE AERODROMO;FORA DE AERODROMO;ROBINSON HELICOPTER
PRRCZ;210L;ARIOSTO DA RIVA;CAMPO GRANDE;CESSNA AIRCRAFT
PTFFH;A188B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTUNC;EMB-202;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PUPEK;SUPER PETREL LS;LU�S DAL CANALLE FILHO;AEROLEVE AER�DROMO PRIVADO;EDRA
PTGOJ;EMB-201;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRRRR;AT-502B;FORA DE AERODROMO;FORA DE AERODROMO;AIR TRACTOR
PTUNH;EMB-202;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTLOA;A188;CENTENO;CENTENO;CESSNA AIRCRAFT
PUCHE;KR-LAC;JABOTICABAL;JABOTICABAL;DESCONHECIDO
PUAKQ;PARADISE I;MUNICIPAL JOS� FIGUEIREDO;S�O JO�O DEL REI;DESCONHECIDO
PRMPO;ATR-42-320;VAL DE CANS / J�LIO CEZAR RIBEIRO;EDUARDO GOMES;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
N6523N;N210;EDUARDO GOMES;POUSADA AMAZ�NIA FISHING LODGE;CESSNA AIRCRAFT
N380AN;767-323;MIAMI INTERNATIONAL AIRPORT;ANTONIO CARLOS JOBIM / GALE�O;BOEING
PUTFL;ADVENTURE;FORA DE AERODROMO;FORA DE AERODROMO;JOAO LUIZ FAUSTINO
PRGGM;737-8EH;GUARARAPES - GILBERTO FREYRE;GOVERNADOR ANDR� FRANCO MONTORO;BOEING
PRTKI;ATR-72-212A (600);AFONSO PENA;S�LVIO NAME J�NIOR;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRAYE;ERJ 190-200 IGW;VIRACOPOS;SANTA GENOVEVA/GOI�NIA;EMBRAER
N399AN;767-323;SALGADO FILHO;MIAMI INTERNATIONAL AIRPORT;BOEING
PRAGF;G58;GOVERNADOR JOS� RICHA;CAMPO DE MARTE - SP;BEECH AIRCRAFT
PTVGR;EMB-810D;HERC�LIO LUZ;SALGADO FILHO;NEIVA
PTVOB;EMB-810D;BACACHERI;FRANCISCO LACERDA J�NIOR;NEIVA
PPFLD;AB-115;PROFESSOR URBANO ERNESTO STUMPF;PROFESSOR URBANO ERNESTO STUMPF;AERO BOERO
PTJCC;210L;SANTOS DUMONT;CARLOS PRATES;CESSNA AIRCRAFT
PTUTX;EMB-202A;PISTA DE POUSO EVENTUAL;PISTA DE POUSO EVENTUAL;NEIVA
PTBQD;N35;FAZENDA BANDEIRANTES;TERUEL IPANEMA EST�NCIA;BEECH AIRCRAFT
PRSGA;SR22;GAST�O MADEIRA;CAMPO DE MARTE - SP;CIRRUS
PRBRO;152;AER�DROMO NACIONAL DE AVIA��O;AER�DROMO NACIONAL DE AVIA��O;CESSNA AIRCRAFT
PTEZU;EMB-810C;AER�DROMO NACIONAL DE AVIA��O;AER�DROMO NACIONAL DE AVIA��O;EMBRAER
PRRAU;58;BORBA;FLORES;BEECH AIRCRAFT
PRLAX;PA-46-500TP;FAZENDA CONFORTO;MUNDICO COELHO;PIPER AIRCRAFT
PTUDO;EMB-201A;S�O LUIZ;FORA DE AERODROMO;NEIVA
PTGQP;EMB-201A;FORA DE AERODROMO;ITAQUI;NEIVA
PPGMA;AB-115;GOVERNADOR JOS� RICHA;GOVERNADOR JOS� RICHA;AERO BOERO
PTBHF;172A;RONDON�POLIS;PRIMAVERA DO LESTE;CESSNA AIRCRAFT
PRPIC;AT-502B;FAZENDA V� ZECA;FAZENDA S�O JOS� DAS REUNIDAS;AIR TRACTOR
PPGRU;AB-115;SANTO �NGELO;SANTA ROSA;AERO BOERO
PTGQN;EMB-201A;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRAQM;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRJHR;SR22;FORA DE AERODROMO;FORA DE AERODROMO;CIRRUS
PPEUE;B90;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PRAEJ;AT-502B;FORA DE AERODROMO;FORA DE AERODROMO;AIR TRACTOR
PTHNC;HB-350B;IPORANGA-GUARUJ�;HOSPITAL ALBERT EINSTEIN;HELIBRAS
PRACH;PA-25-235;FAZENDA INHUMAS DO CHAPAD�O;FAZENDA INHUMAS DO CHAPAD�O;PIPER AIRCRAFT
PTNOP;EMB-711C;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRPDI;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PPWMA;525C;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRPPL;PA-34-200T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PTFLW;208B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRGXB;737-8EH;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRIMF;S-76A;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY
PREND;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PROAM;F28MK0100;FORA DE AERODROMO;FORA DE AERODROMO;FOKKER
PRTTW;727-225;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRPRE;390;FORA DE AERODROMO;FORA DE AERODROMO;HAWKER BEECHCRAFT
PRGRD;750;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRMPO;ATR-42-320;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRCHX;EC 225 LP;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER
PTJBL;210L;BREVES;BEL�M/BRIGADEIRO PROT�SIO DE OLIVEIRA;CESSNA AIRCRAFT
PTMUH;777-32WER;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRRSR;PA-32R-301;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PPZKV;EMB-402;PROFESSOR URBANO ERNESTO STUMPF;PROFESSOR URBANO ERNESTO STUMPF;EMBRAER
PTNYJ;EMB-712;CAMPO DE MARTE - SP;CAMPO DE MARTE - SP;NEIVA
PTUCN;EMB-201A;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTULZ;EMB-202;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTUVA;EMB-202;S�O BORJA;S�O BORJA;EMBRAER
PTUAD;EMB-201A;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTGGA;EMB-201;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRBGR;EC 225 LP;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER
PPBCC;DA 42 NG;ATIBAIA;ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL;DIAMOND
PTYPW;R44;FORA DE AERODROMO;FORA DE AERODROMO;ROBINSON HELICOPTER
PTYHP;R44;FORA DE AERODROMO;FORA DE AERODROMO;ROBINSON HELICOPTER
PTJSM;U206F;EST�NCIA SANTA MARIA;FAZENDA CAP�O VERDE;CESSNA AIRCRAFT
PTGTC;EMB-201A;USINA PORTO RICO;SANTA MAGALH�ES;NEIVA
PTVTS;EMB-202;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTBOW;PA-25-260;FAZENDA S�O ROQUE;GOVERNADOR LUCAS NOGUEIRA GARCEZ (SBLN*);PIPER AIRCRAFT
PTWVM;A36;DEPUTADO LU�S EDUARDO MAGALH�ES;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;BEECH AIRCRAFT
PTUME;EMB-202;GURGU�IA;GURGU�IA;NEIVA
PUTDV;ADVENTURE;FORA DE AERODROMO;FORA DE AERODROMO;ISMAEL FERNANDES NUNES JUNIOR
PUSED;KOLB FLYER SS;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PTHVX;R22 BETA;CAMPO DE MARTE - SP;CAMPO DE MARTE - SP;ROBINSON HELICOPTER
PUILS;VENTURA IAM;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PRSAO;DA20-C1;CAMPO DE MARTE - SP;CAMPO DE MARTE - SP;DIAMOND
PTVPI;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PREJV;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PPPTN;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRATU;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PPFXH;EMB-711ST;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRAVO;A318-122;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PTRAM;EMB-721C;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRGJP;PA-34-220T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRBTH;DA20-C1;FORA DE AERODROMO;FORA DE AERODROMO;DIAMOND
PRPDD;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRAQM;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRKLG;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRIOD;727-264;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRIOD;727-264;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRODT;V35B;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PTEDC;EMB-820C NAVAJO;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PPGYD;56-B;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PPPTZ;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PROTT;PA-28R-201T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRTTM;ATR-42-500;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRIEI;EMB-500;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PPNLR;EMB-135BJ;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTEHX;EMB-721C;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRSNC;PA-32-301FT;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PPDMP;AS 350 B3;FORA DE AERODROMO;FORA DE AERODROMO;HELIBRAS
PTVEQ;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRBPM;AMT-200SO;FORA DE AERODROMO;FORA DE AERODROMO;AEROMOT
PTVJC;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTNEQ;EMB-711C;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PPNBZ;AT-802;FORA DE AERODROMO;FORA DE AERODROMO;AIR TRACTOR
PTTJS;525B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PREYJ;172S;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRGTV;737-8EH;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PPEMO;EMB-505;PRESIDENTE JUSCELINO KUBITSCHEK;PINTO MARTINS;EMBRAER
PPGPM;AB-115;CORREIA PINTO;COMANDANTE ANTONIO AMILTON BERALDO;AERO BOERO
PRSES;AW139;FORA DE AERODROMO;FORA DE AERODROMO;AGUSTA
PTAEW;170A;ATIBAIA;ESTADUAL ARTHUR SIQUEIRA;CESSNA AIRCRAFT
PTSUN;PA-34-220T;CARATINGA;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;PIPER AIRCRAFT
PRRQL;152;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;CESSNA AIRCRAFT
PPGAF;AB-115;BEL�M NOVO;CENTENO;AERO BOERO
PPGBC;AB-115;S�LVIO NAME J�NIOR;S�LVIO NAME J�NIOR;AERO BOERO
PUCMR;G FLY;FORA DE AERODROMO;FORA DE AERODROMO;CARLOS GILBERTO FRAGA MARQUES
PTNOD;EMB-710C;OURIL�NDIA DO NORTE;FORA DE AERODROMO;NEIVA
PPGYB;56-B;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;NEIVA
PTXXX4;685;FORA DE AERODROMO;FORA DE AERODROMO;ROCKWELL
PUJAM;***;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PUXAC;AC-16;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PRWIZ;PA-25-235;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRYKS;182K;COROA DO AVI�O;COROA DO AVI�O;CESSNA AIRCRAFT
PTKIL;95-B55;PREFEITO ORLANDO MARINHO;FLORES;BEECH AIRCRAFT
PPJRL;R22 BETA;PIRAQUARA;PIRAQUARA;ROBINSON HELICOPTER
PPFFR;U206G;FORA DE AERODROMO;ATLAS BRASIL CANTANHEDE;CESSNA AIRCRAFT
PTWFO;58;CAMPO GRANDE;CAMPO GRANDE;BEECH AIRCRAFT
PTEVN;EMB-810C;SANTA ROSA DO PURUS;MANUEL URBANO;EMBRAER
PTLNA;R22 BETA;CARLOS PRATES;BRIGADEIRO CABRAL;ROBINSON HELICOPTER
PRPEX;182A;CENTRO NACIONAL DE P�RA-QUEDISMO;CENTRO NACIONAL DE P�RA-QUEDISMO;CESSNA AIRCRAFT
PPHSY;AB-180;TATU�;TATU�;AERO BOERO
PRNAR;172N;CARLOS PRATES;CARLOS PRATES;CESSNA AIRCRAFT
PTUFV;EMB-201A;�REA DE POUSO PARA USO AEROAGR�COLA;�REA DE POUSO PARA USO AEROAGR�COLA;NEIVA
PTUEQ;EMB-201A;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTKMS;182P;MANUEL URBANO;FORA DE AERODROMO;CESSNA AIRCRAFT
PPGVN;56-C;S�LVIO NAME J�NIOR;AEROCLUBE DE IT�POLIS;NEIVA
PRATW;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTRXQ;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRDFL;C90A;FORA DE AERODROMO;FORA DE AERODROMO;RAYTHEON AIRCRAFT
PRBBP;680;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTNOP;EMB-711C;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PPBCC;DA 42 NG;FORA DE AERODROMO;FORA DE AERODROMO;DIAMOND
PRLAZ;SR22;FORA DE AERODROMO;FORA DE AERODROMO;CIRRUS
PRMJX;AS 350 B2;FORA DE AERODROMO;FORA DE AERODROMO;HELIBRAS
PRATR;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRTOR;A36;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PRMHI;A320-214;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PPCIE;SR20;FORA DE AERODROMO;FORA DE AERODROMO;CIRRUS
PRISK;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRGBI;200;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PTWJC;A36;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PPDLA;P.180;FORA DE AERODROMO;FORA DE AERODROMO;PIAGGIO AERO INDUSTRIES
PRGOR;737-76N;TENENTE-CORONEL AVIADOR C�SAR BOMBONATO;TANCREDO NEVES;BOEING
PTRFZ;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PUVSM;DYNAMIC WT-9;FORA DE AERODROMO;FORA DE AERODROMO;MAURICIO WIECHMANN CATAI
PRAYL;ERJ 190-200 LR;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTSAF;45;FORA DE AERODROMO;FORA DE AERODROMO;LEARJET
PTMXD;A321-231;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PRHXH;R66;FORA DE AERODROMO;FORA DE AERODROMO;ROBINSON HELICOPTER
PRJGV;58;MARECHAL RONDON;PRIMAVERA DO LESTE;BEECH AIRCRAFT
PTJTN;95-B55;PORTO DE MOZ;CH�CARA MARING�;BEECH AIRCRAFT
PRAXK;ERJ 190-200 IGW;TANCREDO NEVES;PORTO SEGURO;EMBRAER
PRJFS;AMT-600;BEL�M/BRIGADEIRO PROT�SIO DE OLIVEIRA;BEL�M/BRIGADEIRO PROT�SIO DE OLIVEIRA;AEROMOT
RA0976G;***;FORA DE AERODROMO;FORA DE AERODROMO;MAULE AIRCRAFT
SPBBP;***;FORA DE AERODROMO;FORA DE AERODROMO;MAULE AIRCRAFT
PRPAS;SR22;DEPUTADO LU�S EDUARDO MAGALH�ES;BOQUIRA;CIRRUS
PTGZZ;EMB-201A;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PUSLT;P2008;FORA DE AERODROMO;FORA DE AERODROMO;TECNAM
PTVDQ;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PUWHM;NYNJA;FORA DE AERODROMO;FORA DE AERODROMO;JOSE ANTONIO ZATTAR JR
PPXZB;NIMBUS 3D PLAN.;FORA DE AERODROMO;FORA DE AERODROMO;SHEMPP-HIRTH FLUGZEUBAU
PTVMQ;EMB-720D;DEPUTADO LU�S EDUARDO MAGALH�ES;LORENZO;NEIVA INDUSTRIA AERONAUTICA
PTODU;58;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PPGOI;AB-115;FORA DE AERODROMO;FORA DE AERODROMO;AERO BOERO
PTJJB;402B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRGNC;G58;FORA DE AERODROMO;FORA DE AERODROMO;BEECH AIRCRAFT
PPEIF;500;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRBVG;172S;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PPXFT;GESPI-2000;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PUPPP;DYNAMIC WT-9;FORA DE AERODROMO;FORA DE AERODROMO;EDRA
PRCIG;R44 II;FORA DE AERODROMO;FORA DE AERODROMO;ROBINSON HELICOPTER
PRZMH;RV-7;FORA DE AERODROMO;FORA DE AERODROMO;HAROLDO CARNEIRO LEAO SOBRINHO
PTOZA;208B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTOBL;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRJAI;PA-34-200T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRIOD;727-264;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRPDD;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRONJ;A319-115;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PRVDA;PA-46-350P;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRATE;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PTTVG;EC 130 B4;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER
PTERL;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTYRA;AS 350 B2;FORA DE AERODROMO;FORA DE AERODROMO;HELIBRAS
PTVIY;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PRMHM;A320-214;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PULLO;BRAVO 700;FORA DE AERODROMO;FORA DE AERODROMO;AEROBRAVO
PTVOB;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PTVSS;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PURAK;BRAVO 700;FORA DE AERODROMO;FORA DE AERODROMO;AEROBRAVO
PREJQ;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRAVU;A320-214;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PRIDE;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTDBM;PA-31;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PUHEZ;CONQUEST 180;FORA DE AERODROMO;FORA DE AERODROMO;(INPAER) IND�STRIA PAULISTA DE AERON�UTICA
PTDXE;182N;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRATH;ATR-72-212A;FORA DE AERODROMO;FORA DE AERODROMO;ATR - GIE AVIONS DE TRANSPORT R�GIONAL
PRAXC;ERJ 190-200 IGW;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRAYB;ERJ 190-200 IGW;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PTMZD;A319-132;FORA DE AERODROMO;FORA DE AERODROMO;AIRBUS
PRPFN;EMB-145LR;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRGXA;737-8EH;FORA DE AERODROMO;FORA DE AERODROMO;BOEING
PRGEB;B300;J�LIO B�LEM;EDUARDO GOMES;RAYTHEON AIRCRAFT
PRGPG;210L;POUSO DA �GUIA;WILIMON;CESSNA AIRCRAFT
PPFLF;AB-115;FORA DE AERODROMO;FORA DE AERODROMO;AERO BOERO
PTRMX;EMB-810C;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRTAX;PA-34-200;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PTLYG;95-B55;PIQUET;BOTELHO;BEECH AIRCRAFT
PPGYB;56-B;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA
PPHGB;CAP-4;FORA DE AERODROMO;FORA DE AERODROMO;CIA AERONAUTICA PAULISTA
PRHRV;S-61N;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY
PPGBK;AB-115;BACACHERI;FORA DE AERODROMO;AERO BOERO
PPXLI;K-51;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PUWFA;FASCINATION;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PUDET;PARADISE;FORA DE AERODROMO;FORA DE AERODROMO;DESCONHECIDO
PUSEH;PARADISE P-1;FORA DE AERODROMO;FORA DE AERODROMO;HENRIQUE DRUMOND LIMA DE OLIVEIRA
PUEDR;BUCKER;FORA DE AERODROMO;FORA DE AERODROMO;ANDRE A.FERDINAND
PUIHS;CONQUEST 180;FORA DE AERODROMO;FORA DE AERODROMO;DIEGO C�MARA MORAIS
PRTOT;172R;MARECHAL RONDON;COMANDANTE GAST�O;CESSNA AIRCRAFT
PTYFD;R44;FORA DE AERODROMO;FORA DE AERODROMO;ROBINSON HELICOPTER
PTDLA;177B;BACACHERI;14 BIS;CESSNA AIRCRAFT
PTLVV;F33A;FORA DE AERODROMO;COMANDANTE CARLOS IN�CIO AGNES;BEECH AIRCRAFT
PTRXS;EMB-720D;POUSO DA �GUIA;CATRIMANI I;NEIVA
PTJRY;F33A;FRANK MILOYE MILENKOVICH;TENENTE LUND PRESSOTO;BEECH AIRCRAFT
PTDQG;182N;FEIJ�;FEIJ�;CESSNA AIRCRAFT
PRNEO;EC 130 B4;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER
PRAFA;560XLS+;SANTOS DUMONT;BASE A�REA DE SANTOS;CESSNA AIRCRAFT
PTLZL;M20K;FORA DE AERODROMO;FORA DE AERODROMO;MOONEY AIRCRAFT
PTKQM;210L;PROFESSOR ERIBERTO MANOEL REINO;PROFESSOR ERIBERTO MANOEL REINO;CESSNA AIRCRAFT
PTWPH;EMB-720C;BALSAS;SENADOR PETR�NIO PORTELLA;NEIVA
PTVGT;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA INDUSTRIA AERONAUTICA
PRRMY;152;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
N70FL;FALCON 7X;FORA DE AERODROMO;FORA DE AERODROMO;DASSAULT AVIATION
PTWRS;PA-34-220T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PRZRB;BUMERANGUE EX-27 CROSS-CONTRY;FORA DE AERODROMO;FORA DE AERODROMO;JOSE ROBERTO BARBOSA
PRBGF;EC 120 B;FORA DE AERODROMO;FORA DE AERODROMO;EUROCOPTER
PRCDL;58;FORA DE AERODROMO;FORA DE AERODROMO;RAYTHEON AIRCRAFT
PRZRB;BUMERANGUE EX-27 CROSS-CONTRY;FORA DE AERODROMO;FORA DE AERODROMO;JOSE ROBERTO BARBOSA
PTDFZ;150H;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTRSN;EMB-810D;FAZENDA JUSSARA;SANTA GENOVEVA/GOI�NIA;NEIVA
PTTOY;A109E;FORA DE AERODROMO;FORA DE AERODROMO;AGUSTA
PRRHG;525A;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRLDA;S-76C;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY AIRCRAFT
PTEZJ;EMB-720C;FORA DE AERODROMO;FORA DE AERODROMO;NEIVA INDUSTRIA AERONAUTICA
PROMJ;AW139;FORA DE AERODROMO;FORA DE AERODROMO;AGUSTA
PREZJ;172S;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTMEP;208B;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTJCA;182P;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRNET;172P;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PTRUO;EMB-810D;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PRBGM;S-92A;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY
PTLHR;55;FORA DE AERODROMO;FORA DE AERODROMO;LEARJET
PRHRS;S-61N;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY AIRCRAFT
PTXCA;AT-401B;FORA DE AERODROMO;FORA DE AERODROMO;AIR TRACTOR
PRJAI;PA-34-200T;FORA DE AERODROMO;FORA DE AERODROMO;PIPER AIRCRAFT
PPHSX;AB-180;FORA DE AERODROMO;FORA DE AERODROMO;AERO BOERO
PRNZF;SR20;FORA DE AERODROMO;FORA DE AERODROMO;CIRRUS DESIGN
PREMJ;150M;FORA DE AERODROMO;FORA DE AERODROMO;CESSNA AIRCRAFT
PRPSQ;EMB-145MP;FORA DE AERODROMO;FORA DE AERODROMO;EMBRAER
PREEE;SR20;FORA DE AERODROMO;FORA DE AERODROMO;CIRRUS DESIGN
PRLDH;S-76C;FORA DE AERODROMO;FORA DE AERODROMO;SIKORSKY AIRCRAFT
DCHGN;HAWKER 900XP;FORA DE AERODROMO;FORA DE AERODROMO;HAWKER BEECHCRAFT
