codigo_ocorrencia,ocorrencia_pais,ocorrencia_cidade,ocorrencia_uf,ocorrencia_classificacao,ocorrencia_longitude,ocorrencia_latitude,ocorrencia_tipo_categoria
83722,BRASIL,RECIFE,PE,INCIDENTE,-3492277777777,-8126388888888,COLISÃO COM AVE
83721,BRASIL,VITÓRIA,ES,INCIDENTE,-4028638888888,-2025805555555,COLISÃO COM AVE
83668,BRASIL,BRASÍLIA,DF,INCIDENTE,-4791861111111,-1587111111111,COLISÃO COM AVE
83667,BRASIL,BRASÍLIA,DF,INCIDENTE,-4791861111111,-1587111111111,COLISÃO COM AVE
83666,BRASIL,CHAPECÓ,SC,INCIDENTE,-5265888888888,-2713388888888,COLISÃO COM AVE
83665,BRASIL,BRASÍLIA,DF,INCIDENTE,-4791861111111,-1587111111111,COLISÃO COM AVE
83664,BRASIL,TERESINA,PI,INCIDENTE,-4282444444444,-5060555555555,COLISÃO COM AVE
83663,BRASIL,CAMPINAS,SP,INCIDENTE,-4713444444444,-2300694444444,COLISÃO COM AVE
83662,BRASIL,GOIANÁ,MG,INCIDENTE,-4317305555555,-2151305555555,COLISÃO COM AVE
83661,BRASIL,NAVEGANTES,SC,INCIDENTE,-4865083333333,-2687861111111,COLISÃO COM AVE
83660,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,COLISÃO COM AVE
83659,BRASIL,BELÉM,PA,INCIDENTE,-4847888888888,-1384722222222,EXCURSÃO DE PISTA
83658,BRASIL,PEREIRA BARRETO,SP,ACIDENTE,-5109055555555,-2067138888888,EXCURSÃO DE PISTA
83640,BRASIL,SOLEDADE,RS,INCIDENTE,-5308666666666,-2862388888888,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83639,BRASIL,ALENQUER,PA,ACIDENTE,-545475,-1614722222222,COLISÃO COM AVE
83638,BRASIL,CAMPINAS,SP,INCIDENTE,-4713444444444,-2300694444444,COLISÃO COM AVE
83637,BRASIL,GUARULHOS,SP,INCIDENTE,-4647305555555,-2343555555555,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83636,BRASIL,SANTARÉM,PA,INCIDENTE,-5478583333333,-2424722222222,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83635,BRASIL,GOIOERÊ,PR,ACIDENTE,-5298277777777,-2420388888888,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83634,BRASIL,SÃO PAULO,SP,INCIDENTE,-4665638888888,-2362611111111,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83633,BRASIL,CURITIBA,PR,INCIDENTE,-4917611111111,-2553166666666,EXCURSÃO DE PISTA
83632,BRASIL,SÃO PEDRO DO SUL,RS,INCIDENTE GRAVE,-544525,-2962805555555,COLISÃO COM AVE
83629,BRASIL,BARRA DO PIRAÍ,RJ,INCIDENTE,-4382972222222,-2245972222222,COLISÃO COM AVE
83628,BRASIL,SALTO DO JACUÍ,RS,INCIDENTE GRAVE,-5336472222222,-2901222222222,COLISÃO COM AVE
83627,BRASIL,CORUPÁ,SC,ACIDENTE,-49.27,-2643388888888,COLISÃO COM AVE
83625,BRASIL,RECIFE,PE,INCIDENTE,-3492277777777,-8126388888888,COLISÃO COM AVE
83624,BRASIL,SALVADOR,BA,INCIDENTE,-383225,-1290861111111,COLISÃO COM AVE
83623,BRASIL,CURITIBA,PR,INCIDENTE,-4923361111111,-2540333333333,COLISÃO COM AVE
83622,BRASIL,TERESINA,PI,INCIDENTE,-4282444444444,-5060555555555,COLISÃO COM AVE
83621,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,COLISÃO COM AVE
83620,BRASIL,RIO DE JANEIRO,RJ,INCIDENTE,-4325055555555,-22.81,COLISÃO COM AVE
83619,BRASIL,CHAPECÓ,SC,INCIDENTE,-5265888888888,-2713388888888,FALHA OU MAU FUNCIONAMENTO DO MOTOR
83618,BRASIL,CHAPECÓ,SC,INCIDENTE,-5265888888888,-2713388888888,COLISÃO COM FAUNA
83617,BRASIL,CHAPECÓ,SC,INCIDENTE,-5265888888888,-2713388888888,COLISÃO COM FAUNA
83616,BRASIL,CHAPECÓ,SC,INCIDENTE,-5265888888888,-2713388888888,COLISÃO COM FAUNA
83615,BRASIL,SANTARÉM,PA,INCIDENTE,-5478583333333,-2424722222222,FALHA OU MAU FUNCIONAMENTO DO MOTOR
83614,BRASIL,PALMAS,TO,INCIDENTE,-4835777777777,-10.29,OPERAÇÃO A BAIXA ALTITUDE
83613,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-5117111111111,-2999472222222,EXCURSÃO DE PISTA
83612,BRASIL,CAMPO GRANDE,MS,INCIDENTE,-5467027777777,-2046944444444,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83611,BRASIL,PARANATINGA,MT,ACIDENTE,-5437944444444,-143575,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83610,BRASIL,TURVELÂNDIA,GO,ACIDENTE,-50402500,-17665278,OPERAÇÕES NO SOLO
83609,BRASIL,RIACHÃO,MA,INCIDENTE,-46.45,-8199444444444,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
83608,BRASIL,PORTO ALEGRE,RS,INCIDENTE,-5117111111111,-2999472222222,COLISÃO COM AVE
83606,BRASIL,BRASÍLIA,DF,INCIDENTE,-4791861111111,-1587111111111,COLISÃO COM AVE
83605,BRASIL,PETROLINA,PE,INCIDENTE,-4056361111111,-93675,COLISÃO COM AVE
83604,BRASIL,JOÃO PESSOA,PB,INCIDENTE,-3495027777777,-7148333333333,COLISÃO COM AVE
83603,BRASIL,PORTO SEGURO,BA,INCIDENTE,-3907777777777,-1643805555555,COLISÃO COM AVE
